CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Rancagua,241774,187487,106481,9257,97394,44444,3568,90093,62037,5689
Codegua,12988,10052,5695,414,5004,2040,146,5048,3655,268
Coinco,7359,5893,2914,241,2909,966,74,2984,1948,167
Coltauco,19597,15265,8076,645,7653,2811,219,7612,5265,426
Doñihue,20887,15976,8897,665,8095,3336,233,7881,5561,432
Graneros,33437,25082,14711,1146,12705,5779,387,12377,8932,759
Las Cabras,24640,19303,10786,680,9359,3646,249,9944,7140,431
Machalí,52505,38578,23029,1676,20015,9539,644,18563,13490,1032
Malloa,13407,10700,5678,380,5275,1916,148,5425,3762,232
Mostazal,25343,19461,10758,802,9787,3890,287,9674,6868,515
Olivar,13608,10476,6042,348,5225,2133,124,5251,3909,224
Peumo,14313,11262,6409,343,5546,2235,110,5716,4174,233
Pichidegua,19714,15618,8288,464,7653,2630,171,7965,5658,293
Quinta de Tilcoco,13002,10315,5826,327,5129,2120,109,5186,3706,218
Rengo,58825,45406,25799,1847,23338,10129,748,22068,15670,1099
Requínoa,27968,21361,12740,760,10600,4634,281,10761,8106,479
San Vicente,46766,36803,20525,1319,18640,7837,536,18163,12688,783
Pichilemu,16394,13098,7520,407,6533,2972,156,6565,4548,251
La Estrella,3041,2508,1360,49,1173,404,22,1335,956,27
Litueche,6294,5078,2819,123,2427,931,41,2651,1888,82
Marchihue,7308,5940,3239,133,2868,1051,62,3072,2188,71
Navidad,6641,5473,2704,151,2608,935,54,2865,1769,97
Paredones,6188,5152,2278,172,2442,656,43,2710,1622,129
San Fernando,73973,56824,33499,2252,29549,13924,1003,27275,19575,1249
Chépica,15037,11994,6012,426,5953,1958,154,6041,4054,272
Chimbarongo,35399,27696,15503,913,13772,5494,350,13924,10009,563
Lolol,6811,5553,2692,177,2704,864,43,2849,1828,134
Nancagua,17833,13885,7772,474,7001,2820,218,6884,4952,256
Palmilla,12482,9929,5379,292,4920,1766,107,5009,3613,185
Peralillo,11007,8857,4706,357,4373,1599,140,4484,3107,217
Placilla,8738,6902,3810,186,3427,1289,70,3475,2521,116
Pumanque,3421,2911,1389,87,1435,444,27,1476,945,60
Santa Cruz,37855,29901,16897,1214,15347,6655,486,14554,10242,728