CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Temuco,282415,222223,123604,9084,118591,54519,3994,103632,69085,5090
Carahue,24533,18436,8886,594,9347,3085,223,9089,5801,371
Cunco,17526,13755,6257,508,6896,2053,158,6859,4204,350
Curarrehue,7489,5572,2877,178,2737,1058,69,2835,1819,109
Freire,24606,19055,9162,693,9511,2925,239,9544,6237,454
Galvarino,11996,8929,3753,416,4490,1240,119,4439,2513,297
Gorbea,14414,11524,5498,508,5988,2048,223,5536,3450,285
Lautaro,38013,28441,13822,1303,14756,5027,519,13685,8795,784
Loncoche,23612,18199,8388,801,9398,3000,304,8801,5388,497
Melipeuco,6138,4811,2017,238,2393,762,79,2418,1255,159
Nueva Imperial,32510,24857,11879,942,12842,4485,374,12015,7394,568
Padre Las Casas,76126,57038,29927,2560,29716,11818,975,27322,18109,1585
Perquenco,6905,5373,2519,211,2737,837,71,2636,1682,140
Pitrufquén,24837,19331,9530,714,10086,3659,285,9245,5871,429
Pucón,28523,22005,13054,904,11164,5317,382,10841,7737,522
Saavedra,12450,9346,4294,295,4722,1526,114,4624,2768,181
Teodoro Schmidt,15045,11746,5467,376,5827,1719,129,5919,3748,247
Toltén,9722,7616,3460,234,3813,1223,72,3803,2237,162
Vilcún,28151,21146,10530,877,10801,3737,341,10345,6793,536
Villarrica,55478,42526,23354,1741,21964,9269,747,20562,14085,994
Cholchol,11611,8470,3879,301,4318,1372,114,4152,2507,187
Angol,53262,41099,22135,1944,21731,9238,785,19368,12897,1159
Collipulli,24598,18590,9192,870,9592,3358,289,8998,5834,581
Curacautín,17413,13618,6616,535,7195,2506,203,6423,4110,332
Ercilla,7733,5764,2747,252,2951,1001,95,2813,1746,157
Lonquimay,10251,7737,3719,326,3661,1189,107,4076,2530,219
Los Sauces,7265,5612,2751,192,2831,1003,63,2781,1748,129
Lumaco,9548,7237,3164,334,3507,956,94,3730,2208,240
Purén,11779,9114,4143,384,4768,1570,130,4346,2573,254
Renaico,10250,7845,3997,343,4080,1488,109,3765,2509,234
Traiguén,18843,14558,6900,596,7707,2715,235,6851,4185,361
Victoria,34182,26698,13292,1198,14099,5228,471,12599,8064,727