CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Puerto Montt,245902,188659,114137,7645,96703,48015,3448,91956,66122,4197
Calbuco,33985,26016,13877,1038,12933,5193,383,13083,8684,655
Cochamó,4023,3280,1724,102,1463,517,29,1817,1207,73
Fresia,12261,9689,5086,252,4815,1736,97,4874,3350,155
Frutillar,18428,14272,8172,479,7263,3079,203,7009,5093,276
Los Muermos,17068,13483,7331,275,6570,2417,98,6913,4914,177
Llanquihue,17591,13651,7680,588,6955,2879,237,6696,4801,351
Maullín,14216,11403,5961,334,5624,2049,140,5779,3912,194
Puerto Varas,44578,34063,22159,1126,17454,9560,480,16609,12599,646
Castro,43807,33965,20767,1331,17558,9027,548,16407,11740,783
Ancud,38991,30313,17029,1215,15678,7085,528,14635,9944,687
Chonchi,14858,11612,6590,330,5803,2574,137,5809,4016,193
Curaco de Vélez,3829,2986,1471,110,1560,583,40,1426,888,70
Dalcahue,13762,10558,5913,356,5316,2322,127,5242,3591,229
Puqueldón,3921,3161,1464,80,1614,494,18,1547,970,62
Queilén,5385,4267,2124,165,2062,768,72,2205,1356,93
Quellón,27192,20370,12547,1097,9941,4814,473,10429,7733,624
Quemchi,8352,6570,3349,195,3188,1195,59,3382,2154,136
Quinchao,8088,6327,3115,181,3253,1256,73,3074,1859,108
Osorno,161460,125909,71194,5089,66740,29860,2229,59169,41334,2860
Puerto Octay,8999,7079,3798,202,3365,1121,67,3714,2677,135
Purranque,20369,15900,8036,529,8214,2861,221,7686,5175,308
Puyehue,11667,9129,4525,271,4449,1354,105,4680,3171,166
Río Negro,14085,11078,5379,353,5540,1699,146,5538,3680,207
San Juan de la Costa,7512,5969,2973,119,2768,942,36,3201,2031,83
San Pablo,10030,7876,3909,208,3988,1342,74,3888,2567,134
Chaitén,5071,4133,2736,85,1622,770,34,2511,1966,51
Futaleufú,2623,2101,1436,40,975,511,19,1126,925,21
Hualaihué,8944,6853,3754,224,3233,1282,69,3620,2472,155
Palena,1711,1400,844,32,675,308,16,725,536,16